0.000,0.000,125.000,125.000,250.000,250.000
-0.000,0.000,-0.000,0.532,-0.000,1.000
-0.000,0.000,-0.000,0.532,-0.000,1.000
-0.098,0.000,-0.098,0.532,-0.098,1.000
-0.196,0.000,-0.196,0.532,-0.244,1.000
-0.342,0.000,-0.342,0.532,-0.342,1.000
-0.440,0.000,-0.440,0.532,-0.440,1.000
-0.538,0.000,-0.538,0.533,-0.538,1.000
-0.635,0.000,-0.684,0.532,-0.635,1.000
-0.782,0.000,-0.782,0.532,-0.733,1.000
-0.831,0.000,-0.831,0.532,-0.880,1.000
-0.929,0.000,-0.929,0.533,-0.929,1.000
-1.026,0.000,-1.026,0.532,-1.075,1.000
-1.124,0.000,-1.173,0.531,-1.124,1.000
-1.222,0.000,-1.222,0.532,-1.222,1.000
-1.320,0.000,-1.320,0.532,-1.320,1.000
-1.417,0.000,-1.417,0.532,-1.417,1.000
-1.515,0.000,-1.515,0.532,-1.515,1.000
-1.613,0.000,-1.662,0.532,-1.613,1.000
-1.760,0.000,-1.711,0.532,-1.711,1.000
-1.857,0.000,-1.857,0.532,-1.857,1.000
-1.955,0.000,-1.955,0.532,-1.955,1.000
-2.053,0.000,-2.053,0.532,-2.102,1.000
-2.199,0.000,-2.199,0.532,-2.199,1.000
-2.297,0.000,-2.297,0.532,-2.297,1.000
-2.395,0.000,-2.444,0.532,-2.444,1.000
-2.493,0.000,-2.493,0.532,-2.493,1.000
-2.590,0.000,-2.590,0.532,-2.590,1.000
-2.688,0.000,-2.688,0.532,-2.688,1.000
-2.786,0.000,-2.786,0.532,-2.786,1.000
-2.884,0.000,-2.884,0.532,-2.884,1.000
-2.981,0.000,-2.981,0.532,-2.981,1.000
-3.079,0.000,-3.079,0.532,-3.079,1.000
-3.177,0.000,-3.128,0.532,-3.128,1.000
-3.275,0.000,-3.275,0.532,-3.275,1.000
-3.372,0.000,-3.372,0.532,-3.421,1.000
-3.470,0.000,-3.519,0.532,-3.519,1.000
-3.617,0.000,-3.617,0.532,-3.617,1.000
-3.715,0.000,-3.715,0.532,-3.763,1.000
-3.861,0.000,-3.861,0.532,-3.861,1.000
-3.959,0.000,-3.959,0.532,-3.959,1.000
-4.057,0.000,-4.106,0.532,-4.106,1.000
-4.154,0.000,-4.154,0.532,-4.154,1.000
-4.252,0.000,-4.252,0.532,-4.252,1.000
-4.350,0.000,-4.350,0.532,-4.350,1.000
-4.448,0.000,-4.448,0.532,-4.448,1.000
-4.545,0.000,-4.545,0.532,-4.545,1.000
-4.594,0.000,-4.643,0.532,-4.643,1.000
-4.692,0.000,-4.741,0.532,-4.741,1.000
-4.790,0.000,-4.790,0.532,-4.790,1.000
-4.888,0.000,-4.936,0.532,-4.936,1.000
-5.034,0.000,-5.034,0.532,-5.034,1.000
-5.132,0.000,-5.132,0.532,-5.181,1.000
-5.230,0.000,-5.279,0.532,-5.279,1.000
-5.376,0.000,-5.425,0.532,-5.376,1.000
-5.474,0.000,-5.523,0.532,-5.474,1.000
-5.621,0.000,-5.621,0.532,-5.621,1.000
-5.767,0.000,-5.718,0.532,-5.718,1.000
-5.816,0.000,-5.816,0.532,-5.816,1.000
-5.914,0.000,-5.914,0.532,-5.963,1.000
-6.012,0.000,-6.012,0.532,-6.012,1.000
-6.109,0.000,-6.109,0.533,-6.109,1.000
-6.207,0.000,-6.207,0.532,-6.207,1.000
-6.305,0.000,-6.305,0.532,-6.354,1.000
-6.403,0.000,-6.403,0.532,-6.403,1.000
-6.500,0.000,-6.500,0.532,-6.500,1.000
-6.598,0.000,-6.598,0.532,-6.598,1.000
-6.696,0.000,-6.696,0.532,-6.745,1.000
-6.843,0.000,-6.843,0.532,-6.843,1.000
-6.940,0.000,-6.940,0.532,-6.989,1.000
-7.087,0.000,-7.087,0.532,-7.038,1.000
-7.185,0.000,-7.185,0.532,-7.185,1.000
-7.283,0.000,-7.283,0.532,-7.283,1.000
-7.429,0.000,-7.380,0.532,-7.429,1.000
-7.478,0.000,-7.527,0.532,-7.527,1.000
-7.576,0.000,-7.576,0.531,-7.625,1.000
-7.722,0.000,-7.722,0.532,-7.674,1.000
-7.771,0.000,-7.771,0.532,-7.771,1.000
-7.869,0.000,-7.869,0.532,-7.869,1.000
-7.967,0.000,-7.967,0.532,-7.967,1.000
-8.065,0.000,-8.065,0.532,-8.065,1.000
-8.113,0.000,-8.162,0.533,-8.162,1.000
-8.260,0.000,-8.260,0.532,-8.260,1.000
-8.358,0.000,-8.358,0.532,-8.358,1.000
-8.504,0.000,-8.504,0.532,-8.504,1.000
-8.602,0.000,-8.602,0.532,-8.651,1.000
-8.700,0.000,-8.700,0.532,-8.700,1.000
-8.847,0.000,-8.847,0.532,-8.847,1.000
-8.993,0.000,-8.944,0.532,-8.944,1.000
-9.091,0.000,-9.091,0.532,-9.091,1.000
-9.189,0.000,-9.189,0.532,-9.189,1.000
